,index,Atomic_number,Atomic_symbol,N_Lines,Lines,N_galah_lines,galah_lines
2,7,8,O,52,"[3301.8, 3312.0, 3325.8, 3335.0, 3345.0, 3355.0, 6300.3, 6363.8, 7771.9, 7774.2, 7775.4, 3103.3, 3103.3, 3128.1, 3128.1, 3129.5, 3167.2, 3173.2, 3189.3, 3255.5, 6300.3, 6366.0, 15391.1, 15409.2, 15568.8, 15572.1, 16052.8, 16055.5, 16247.9, 16255.0, 16312.6, 16443.9, 16448.0, 16450.4, 16526.2, 16534.6, 16605.4, 16650.0, 16656.0, 16704.5, 16707.5, 16872.0, 16898.9, 16902.8, 16909.4, 17100.3, 17104.7, 17239.7, 17334.0, 17411.0, 17414.0, 17423.7]",3,[7771.9 7774.2 7775.4]
3,10,11,Na,32,"[3302.4, 3303.0, 4276.8, 4321.4, 4324.6, 4344.7, 4393.3, 4423.3, 4494.2, 4497.7, 4541.6, 4664.8, 4668.6, 4748.0, 4751.8, 4978.6, 4982.8, 5148.8, 5153.4, 5682.6, 5688.2, 5890.0, 5895.9, 6154.2, 6160.8, 8183.2, 8194.8, 8194.8, 16373.9, 16388.8, 17227.6, 17227.7]",4,[4748.  4751.8 5682.6 5688.2]
4,11,12,Mg,32,"[3829.4, 3832.3, 3838.3, 4057.5, 4167.3, 4351.9, 4571.1, 4703.0, 4730.0, 5172.7, 5183.6, 5528.4, 5711.1, 6318.7, 6319.2, 6319.5, 5711.1, 5167.3, 5172.7, 5183.6, 5528.4, 8712.7, 8717.8, 8736.0, 8923.6, 15231.8, 15693.6, 15740.7, 15879.6, 15954.5, 16365.0, 16624.7]",3,[4730.  5711.1 5711.1]
5,12,13,Al,12,"[3944.0, 3961.5, 5557.1, 6696.0, 6698.7, 15956.7, 15968.3, 15968.3, 16719.0, 16750.6, 16763.4, 17187.9]",2,[6696.  6698.7]
6,13,14,Si,32,"[4102.9, 5645.6, 5665.6, 5684.5, 5690.4, 5701.1, 5708.4, 5772.1, 5793.1, 5948.5, 6741.6, 8892.7, 8949.1, 8899.2, 6347.1, 6371.4, 15361.2, 15376.8, 15557.8, 15827.2, 15833.6, 15884.5, 15960.1, 16060.0, 16094.8, 16129.0, 16163.7, 16170.2, 16215.7, 16241.8, 16680.8, 16828.2]",7,[5665.6 5684.5 5690.4 5701.1 5708.4 5772.1 5793.1]
10,19,20,Ca,31,"[5261.7, 5349.5, 5513.0, 5590.1, 5867.6, 6102.7, 6156.0, 6166.4, 6169.0, 6169.6, 6439.1, 6455.6, 6471.7, 6493.8, 6499.6, 5260.4, 5349.5, 5582.0, 5588.7, 5857.4, 6122.2, 6162.2, 5001.5, 6456.9, 8912.1, 8927.4, 16136.8, 16150.8, 16155.2, 16157.4, 16197.1]",4,[5867.6 6493.8 6499.6 5857.4]
11,20,21,Sc,16,"[3911.8, 4246.8, 4400.4, 5083.7, 5484.6, 5520.5, 5686.8, 6210.6, 5356.1, 5031.0, 5526.8, 5657.9, 5684.2, 6604.6, 5641.0, 5667.1]",5,[5686.8 5657.9 5684.2 6604.6 5667.1]
12,21,22,Ti,118,"[3998.6, 4533.2, 4534.8, 4548.8, 4913.6, 4964.7, 4981.7, 4997.1, 4999.5, 5009.6, 5016.2, 5024.8, 5040.0, 5043.6, 5113.4, 5147.5, 5210.4, 5219.7, 5224.3, 5295.8, 5366.6, 5426.2, 5460.5, 5490.1, 5662.2, 5689.5, 5702.6, 5716.4, 5866.4, 5903.3, 5918.5, 5922.1, 5937.8, 5953.2, 5965.8, 5978.5, 6064.6, 6091.2, 6092.8, 6126.2, 6258.1, 6261.1, 6312.2, 6336.1, 6395.5, 6554.2, 6556.1, 6599.1, 4915.2, 4926.1, 5145.5, 5152.2, 5384.6, 5490.8, 5338.3, 8683.0, 8692.3, 8719.6, 8734.7, 4798.5, 4865.6, 4911.2, 5005.2, 5185.9, 5336.8, 5381.0, 5418.8, 4874.0, 4981.4, 5129.2, 5211.5, 5490.7, 15016.1, 15117.3, 15186.7, 15188.0, 15261.3, 15315.6, 15334.8, 15381.1, 15399.3, 15427.0, 15543.8, 15602.8, 15699.0, 15715.6, 15836.8, 16135.8, 16194.7, 16206.7, 16209.4, 16224.1, 16245.3, 16330.5, 16380.9, 16382.7, 16401.5, 16413.0, 16635.2, 16862.6, 16877.7, 16887.2, 16959.8, 16965.2, 16975.7, 16991.1, 16992.6, 17018.0, 17376.6, 17383.1, 17388.5, 17406.9, 17446.7, 15231.2, 15873.8, 16005.1, 16621.8, 17016.0]",11,"[5662.2 5689.5 5702.6 5716.4 5866.4 6554.2 6556.1 6599.1 4798.5 4865.6
 4874. ]"
13,22,23,V,47,"[4111.8, 4115.2, 4116.5, 3530.8, 3538.2, 3545.2, 3592.0, 3952.0, 4005.7, 5593.0, 5632.5, 5646.1, 5657.4, 5668.4, 5703.6, 5737.0, 6002.3, 6039.7, 6081.4, 6090.2, 6111.6, 6119.5, 6135.4, 6251.8, 6256.9, 6274.6, 6285.2, 6531.4, 4875.5, 5604.9, 5627.6, 5670.8, 5727.0, 5727.6, 6199.2, 6216.4, 6230.7, 6242.8, 6243.1, 6251.8, 6274.6, 6285.2, 6292.8, 6565.9, 8933.0, 15924.8, 16200.2]",10,[5657.4 5668.4 5703.6 5737.  6531.4 4875.5 5670.8 5727.  5727.6 6565.9]
14,23,24,Cr,36,"[4588.2, 4646.2, 4789.3, 4848.2, 4936.3, 4964.9, 5200.2, 5247.6, 5272.0, 5287.2, 5296.7, 5300.7, 5304.2, 5312.8, 5318.8, 5345.8, 5348.3, 5409.8, 5719.8, 5788.4, 5844.6, 4953.7, 5206.0, 5239.0, 5241.4, 5628.6, 5838.7, 5246.8, 15178.6, 15680.1, 15860.2, 16015.3, 16223.7, 16674.7, 16897.0, 17345.0]",6,[4789.3 4848.2 5719.8 5788.4 5844.6 5838.7]
15,24,25,Mn,49,"[4030.8, 4033.1, 4041.4, 3460.3, 3488.7, 6013.5, 6016.7, 6021.8, 4823.5, 5255.3, 5394.7, 5407.4, 5420.4, 5432.5, 5516.8, 5117.9, 4783.4, 5004.9, 15159.2, 15217.7, 15262.4, 15673.8, 15693.1, 15743.9, 15749.5, 15787.6, 15948.6, 15948.6, 15950.9, 15950.9, 15950.9, 15954.2, 15954.2, 15958.9, 15958.9, 15965.1, 15965.1, 16490.0, 16708.0, 17044.0, 17324.7, 17325.2, 17339.1, 17339.3, 17349.2, 17349.8, 17356.8, 17357.1, 17496.1]",2,[4823.5 4783.4]
16,25,26,Fe,173,"[6516.1, 6516.1, 4923.9, 4808.1, 4962.6, 4992.8, 5058.5, 5243.8, 5247.0, 5253.0, 5294.5, 5295.3, 5373.7, 5379.6, 5389.5, 5397.6, 5398.3, 5412.8, 5417.0, 5436.3, 5441.3, 5466.4, 5473.2, 5473.9, 5483.1, 5487.1, 5491.8, 5494.5, 5501.5, 5522.4, 5539.3, 5543.9, 5550.0, 5560.2, 5577.0, 5618.6, 5633.9, 5638.3, 5651.5, 5652.3, 5661.3, 5679.0, 5705.5, 5731.8, 5732.3, 5741.8, 5752.0, 5775.1, 5778.5, 5849.7, 5855.1, 5858.8, 5861.1, 5905.7, 5927.8, 5930.2, 5934.7, 5956.7, 6027.1, 6056.0, 6093.6, 6151.6, 6165.4, 6173.3, 6188.0, 6200.3, 6219.3, 6226.7, 6246.3, 6252.6, 6265.1, 6270.2, 6297.8, 6301.5, 6322.7, 6335.3, 6336.8, 6393.6, 6411.6, 6430.8, 6436.4, 6475.6, 6481.9, 6498.9, 6518.4, 6593.9, 6653.9, 6699.1, 6710.3, 6713.7, 6725.4, 6726.7, 6739.5, 6750.2, 6810.3, 8482.0, 8514.1, 8515.1, 8527.9, 8571.8, 8582.3, 8598.8, 8611.8, 8613.9, 8621.6, 8632.4, 8698.7, 8699.5, 8757.2, 8764.0, 8804.6, 4923.9, 4993.4, 5234.6, 5256.9, 5316.6, 5325.6, 5337.7, 5414.1, 5425.3, 5534.8, 5991.4, 6084.1, 6113.3, 6149.3, 6247.6, 6369.5, 6432.7, 6456.4, 15207.5, 15245.0, 15293.1, 15294.6, 15394.7, 15500.8, 15501.3, 15531.8, 15534.2, 15588.3, 15591.5, 15604.2, 15621.7, 15632.0, 15662.0, 15723.6, 15769.1, 15769.4, 15770.6, 15774.1, 15895.2, 15904.3, 15920.6, 15964.9, 15967.7, 15980.7, 16006.8, 16007.1, 16008.1, 16040.7, 16042.7, 16071.4, 16125.9, 16153.2, 16165.0, 16179.6, 16195.1, 16284.8, 16316.3, 16517.2, 16524.5, 16561.8, 16645.9, 16665.5]",28,"[6516.1 6516.1 4808.1 5651.5 5652.3 5661.3 5679.  5705.5 5731.8 5732.3
 5741.8 5752.  5775.1 5778.5 5849.7 5855.1 5858.8 5861.1 6481.9 6498.9
 6518.4 6593.9 6653.9 6699.1 6710.3 6713.7 6725.4 6726.7]"
18,27,28,Ni,92,"[3807.2, 3858.3, 5035.4, 5476.9, 6643.6, 4812.0, 4976.1, 5847.0, 6108.1, 6176.8, 6204.6, 6224.0, 6327.6, 6378.2, 6414.6, 6482.8, 6767.8, 4873.4, 4976.3, 4976.7, 5003.7, 5035.4, 5137.1, 5424.6, 5435.8, 5476.9, 5587.8, 6230.1, 6643.6, 5158.0, 15032.3, 15097.7, 15135.6, 15173.6, 15195.3, 15199.6, 15290.7, 15290.9, 15438.1, 15463.7, 15555.2, 15555.4, 15605.7, 15632.6, 15726.6, 15753.6, 15921.7, 15970.0, 16013.8, 16033.5, 16118.2, 16136.1, 16152.7, 16278.9, 16310.5, 16363.1, 16388.7, 16459.5, 16480.5, 16496.3, 16523.7, 16536.2, 16550.4, 16584.5, 16589.4, 16593.1, 16626.6, 16672.1, 16673.7, 16706.0, 16747.3, 16761.2, 16795.7, 16815.5, 16818.7, 16853.1, 16867.3, 16871.3, 16945.2, 16996.3, 16998.5, 17001.0, 17120.5, 17156.1, 17303.3, 17306.5, 17357.1, 17360.7, 17399.4, 17401.5, 17407.4, 17419.2]",6,[6643.6 4812.  5847.  6482.8 4873.4 6643.6]
