,teff,logg,m_h,vmicro,wavelength,flux
0,3000,4.0,-0.5,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99975971 0.99975964 0.99975958 ... 0.99995797 0.99995798 0.99995799]
1,3000,4.0,-0.25,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99974753 0.99974746 0.99974739 ... 0.99995632 0.99995633 0.99995634]
2,3000,4.0,0.0,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99972137 0.9997213  0.99972123 ... 0.99995205 0.99995206 0.99995207]
3,3000,4.2,-0.5,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99967414 0.99967405 0.99967396 ... 0.99994341 0.99994342 0.99994343]
4,3000,4.2,-0.25,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99965793 0.99965784 0.99965775 ... 0.99994141 0.99994142 0.99994143]
5,3000,4.2,0.0,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99962507 0.99962497 0.99962487 ... 0.99993631 0.99993633 0.99993634]
6,3000,4.4,-0.5,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99956169 0.99956158 0.99956146 ... 0.99992423 0.99992424 0.99992426]
7,3000,4.4,-0.25,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99953671 0.99953658 0.99953646 ... 0.99992121 0.99992123 0.99992124]
8,3000,4.4,0.0,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99950098 0.99950085 0.99950072 ... 0.99991609 0.99991611 0.99991612]
9,3000,4.6,-0.5,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99941746 0.9994173  0.99941715 ... 0.99989962 0.99989964 0.99989966]
10,3000,4.6,-0.25,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99937878 0.99937862 0.99937845 ... 0.99989487 0.9998949  0.99989492]
11,3000,4.6,0.0,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99936068 0.99936051 0.99936034 ... 0.99989331 0.99989333 0.99989335]
